"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-03-30","COL","1","2.2859","2.3589","HOU","2","1.3033","1.3108","-1","0.9826","1.0481","-3","2.06","0.731"
"2019-03-30","CHI","0","1.1331","1.1331","NYRB","0","0.3656","0.3656","0","0.7674","0.7674","1","2.107","0.583"
"2019-03-30","CIN","0","0.3043","0.3043","PHI","2","2.0194","2.0257","-2","-1.7151","-1.7214","-2","0.285","2.541"
"2019-03-30","RSL","2","0.4457","0.4457","FCD","4","1.413","1.413","-2","-0.9672","-0.9672","-2","0.604","2.137"
"2019-03-30","VAN","0","1.2179","1.3691","SEA","0","1.1611","1.1835","0","0.0568","0.1856","0","1.491","1.23"
"2019-03-31","LAG","2","2.7652","2.7652","POR","1","0.9755","0.9755","1","1.7897","1.7897","1","2.696","0.197"
"2019-03-31","ORL","1","1.7361","1.7361","DCU","2","0.8164","0.8164","-1","0.9197","0.9197","-1","2.113","0.631"
"2019-04-05","VAN","0","1.6098","1.6127","LAG","2","1.2427","1.2434","-2","0.3671","0.3693","-2","1.691","1.034"
"2019-04-06","SJE","3","2.7238","2.8023","POR","0","1.3192","1.3849","3","1.4046","1.4174","3","2.317","0.487"
"2019-04-06","SEA","1","1.6001","1.6214","RSL","0","1.1226","1.2295","1","0.4775","0.3919","1","1.77","0.987"
"2019-04-06","TOR","2","2.1021","2.1255","CHI","2","1.2327","1.2327","0","0.8695","0.8929","0","1.967","0.782"
"2019-04-06","ORL","4","3.2085","3.3336","COL","3","1.6323","1.6323","1","1.5762","1.7013","1","2.348","0.482"
"2019-04-06","NYRB","1","1.1531","1.169","MIN","2","0.9963","1.0622","-1","0.1568","0.1067","-1","1.467","1.233"
"2019-04-06","NYC","0","0.9407","0.9424","MTL","0","0.2069","0.2069","0","0.7338","0.7355","0","2.042","0.602"
"2019-04-06","DCU","0","1.5821","1.6049","LAFC","4","3.2344","3.331","-4","-1.6523","-1.7261","-4","0.489","2.376"
"2019-04-06","PHI","2","2.4963","2.5728","FCD","1","0.1928","0.1928","1","2.3035","2.38","1","2.819","0.101"
"2019-04-06","CLB","1","0.8478","0.8478","NER","0","0.7751","0.7751","1","0.0727","0.0727","1","1.31","1.331"
"2019-04-07","CIN","1","2.0765","2.0917","SKC","1","2.0123","2.0667","0","0.0642","0.0249","0","1.465","1.312"
"2019-04-09","DCU","0","0.486","0.486","MTL","0","0.5476","0.5521","0","-0.0617","-0.0661","0","1.234","1.306"
"2019-04-12","CHI","1","1.9059","2.0241","VAN","1","0.3132","0.3132","0","1.5927","1.7109","0","2.561","0.281"
"2019-04-13","COL","2","1.727","1.7579","DCU","3","1.4687","1.472","-1","0.2583","0.2859","-1","1.527","1.209"
"2019-04-13","HOU","2","2.9593","3.0508","SJE","1","0.9022","0.9022","1","2.0572","2.1486","1","2.665","0.226"
"2019-04-13","LAFC","2","1.7948","1.8112","CIN","0","0.8777","0.8777","2","0.9171","0.9334","2","2.068","0.706"
"2019-04-13","SEA","3","1.3294","1.3303","TOR","2","0.8825","0.8825","1","0.4469","0.4478","1","1.741","0.952"
"2019-04-13","RSL","2","0.8303","0.8389","ORL","1","1.1882","1.1882","1","-0.358","-0.3493","1","1.038","1.671"
"2019-04-13","NER","0","0.7386","0.7386","ATL","2","2.3995","2.3995","-2","-1.6609","-1.6609","-2","0.407","2.45"
"2019-04-13","MTL","1","0.8258","0.8281","CLB","0","1.1295","1.1295","1","-0.3037","-0.3014","1","1.101","1.56"
"2019-04-13","MIN","2","1.7892","1.7892","NYC","3","1.4521","1.5165","-1","0.3371","0.2727","0","1.635","1.116"
"2019-04-13","FCD","2","2.1011","2.1011","POR","1","1.6102","1.6102","1","0.4909","0.4909","1","1.696","1.033"
"2019-04-13","LAG","2","1.7126","1.7207","PHI","0","0.7999","0.8761","2","0.9126","0.8446","2","2.148","0.612"
"2019-04-14","SKC","2","1.8548","1.8756","NYRB","2","1.1956","1.1956","0","0.6592","0.6801","0","1.876","0.904"
"2019-04-17","VAN","1","0.8105","0.8165","LAFC","0","0.9591","0.9636","1","-0.1486","-0.1471","1","1.229","1.445"
"2019-04-19","LAG","2","2.4348","2.4348","HOU","1","1.5644","1.5644","1","0.8705","0.8705","1","2.056","0.727"
"2019-04-19","TOR","4","2.3891","2.4394","MIN","3","2.6526","2.7274","1","-0.2636","-0.2881","1","1.176","1.596"
"2019-04-19","CIN","0","1.2584","1.3567","RSL","3","2.0674","2.4602","-3","-0.809","-1.1035","-3","0.806","1.967"
"2019-04-20","ATL","1","2.4952","2.5181","FCD","2","0.9125","0.9125","-1","1.5827","1.6057","-1","2.399","0.416"
"2019-04-20","CHI","4","2.6304","2.6635","COL","1","0.9307","0.9307","3","1.6997","1.7328","3","2.596","0.271"
"2019-04-20","NER","1","0.8079","0.8079","NYRB","0","0.8824","0.8829","1","-0.0745","-0.075","1","1.249","1.399"
"2019-04-20","SJE","4","2.5729","2.5729","SKC","1","3.5223","3.53","3","-0.9494","-0.957","3","0.81","1.962"
"2019-04-20","PHI","3","1.1624","1.1624","MTL","0","0.5243","0.5243","3","0.638","0.638","3","2.072","0.662"
"2019-04-20","ORL","1","1.9861","2.0903","VAN","0","0.5603","0.5603","1","1.4258","1.53","1","2.384","0.413"
"2019-04-20","CLB","1","1.2421","1.2833","POR","3","1.4131","1.4206","-2","-0.171","-0.1373","-2","1.23","1.506"
"2019-04-21","LAFC","4","3.1344","3.1383","SEA","1","0.3924","0.3924","3","2.742","2.7459","3","2.87","0.086"
"2019-04-21","DCU","0","0.7402","0.7402","NYC","2","1.6633","1.666","-2","-0.9231","-0.9258","-2","0.601","2.161"
"2019-04-24","NYC","1","1.662","1.662","CHI","0","0.5316","0.5316","1","1.1304","1.1304","1","2.448","0.357"
"2019-04-24","CLB","0","1.2575","1.2622","DCU","1","1.1835","1.1931","-1","0.0741","0.0692","-1","1.398","1.335"
"2019-04-24","NER","0","0.6973","0.6988","MTL","3","1.8976","1.9375","-3","-1.2003","-1.2387","-3","0.457","2.356"
"2019-04-24","MIN","0","1.4306","1.4306","LAG","0","0.363","0.363","0","1.0675","1.0675","0","2.403","0.378"
